student_id,course_id,semester,internal_marks,assignment_marks,quiz_marks,lab_marks,final_marks
STU00010,ME304,2,50.0,25.0,15.0,25.0,69.5
STU00010,ME304,3,50.0,25.0,15.0,25.0,54.67
STU00010,ME304,4,50.0,25.0,15.0,25.0,67.48
STU00010,ME302,5,50.0,25.0,15.0,25.0,72.03
STU00010,ME301,6,50.0,25.0,15.0,25.0,57.21
STU00011,EE304,1,50.0,25.0,15.0,25.0,66.47
STU00011,EE302,2,50.0,25.0,15.0,24.1,74.25
STU00011,EE301,3,38.29,25.0,13.43,25.0,67.89
STU00011,EE301,4,45.52,25.0,15.0,25.0,43.23
STU00012,EE301,1,41.93,17.6,15.0,14.35,44.41
STU00012,EE304,2,50.0,23.08,8.71,25.0,47.51
STU00012,EE302,3,50.0,25.0,15.0,14.97,54.36
STU00012,EE305,4,47.97,25.0,12.82,25.0,29.56
STU00012,EE301,5,40.71,11.62,15.0,22.95,34.84
STU00013,EC302,1,36.24,14.96,11.77,14.3,38.93
STU00013,EC304,2,40.0,18.96,15.0,25.0,39.21
STU00013,EC305,3,50.0,18.76,15.0,22.38,82.52
STU00013,EC305,4,34.21,10.55,9.07,14.02,65.82
STU00013,EC305,5,50.0,24.28,7.12,19.37,35.07
STU00014,EE304,1,50.0,25.0,14.16,25.0,58.47
STU00014,EE304,2,50.0,25.0,13.59,25.0,77.45
STU00015,CE304,1,32.5,23.91,15.0,18.15,60.05
STU00015,CE304,2,39.41,20.88,15.0,20.11,62.42
STU00015,CE301,3,50.0,22.15,15.0,19.95,53.43
STU00015,CE305,4,42.76,20.55,15.0,21.05,55.87
STU00016,EC304,1,34.52,8.7,11.32,21.91,68.55
STU00016,EC302,2,50.0,11.45,15.0,23.83,43.45
STU00016,EC304,3,35.94,25.0,8.8,22.23,42.71
STU00017,EC305,1,41.1,25.0,15.0,17.02,60.54
STU00017,EC305,2,29.09,25.0,15.0,22.22,53.47
STU00018,IT305,1,50.0,25.0,15.0,25.0,86.55
STU00018,IT305,2,50.0,19.84,15.0,25.0,65.28
STU00018,IT304,3,50.0,25.0,15.0,25.0,52.37
STU00018,IT304,4,50.0,25.0,15.0,25.0,57.13
STU00018,IT305,5,50.0,25.0,15.0,25.0,63.89
STU00019,CS303,1,40.69,0.22,7.13,12.51,15.86
STU00019,CS301,2,35.97,6.83,6.22,17.67,18.08
STU00019,CS302,3,26.23,22.85,3.44,18.43,39.87
STU00019,CS303,4,24.77,22.08,5.32,6.29,14.07
STU00020,IT304,1,50.0,25.0,15.0,25.0,91.27
STU00020,IT304,2,50.0,25.0,15.0,25.0,75.82
STU00020,IT303,3,50.0,25.0,12.55,25.0,83.7
STU00020,IT303,4,50.0,25.0,15.0,25.0,69.32
STU00021,IT302,1,29.2,25.0,6.65,25.0,48.12
STU00021,IT303,2,50.0,18.32,15.0,14.77,41.78
STU00021,IT301,3,43.68,25.0,14.5,9.57,33.48
STU00022,EE303,1,42.7,22.52,15.0,23.61,46.85
STU00022,EE301,2,25.72,11.04,15.0,18.37,49.52
STU00023,CS304,1,50.0,25.0,15.0,25.0,77.86
STU00023,CS305,2,50.0,17.86,15.0,25.0,63.78
STU00024,EE301,1,50.0,25.0,10.61,19.52,45.6
STU00024,EE305,2,46.19,25.0,8.23,25.0,46.42
STU00024,EE303,3,48.52,24.07,15.0,18.22,42.61
STU00024,EE305,4,38.95,16.22,15.0,18.73,56.58
STU00025,ME305,1,43.94,23.02,15.0,25.0,43.84
STU00025,ME304,2,36.71,22.25,12.33,25.0,76.28
STU00025,ME302,3,46.62,18.17,15.0,25.0,55.81
STU00025,ME304,4,39.86,21.71,15.0,15.78,50.38
STU00026,CE305,1,50.0,25.0,15.0,24.28,60.69
STU00026,CE303,2,50.0,23.0,15.0,25.0,45.74
STU00026,CE302,3,50.0,25.0,15.0,22.8,80.64
STU00027,EC305,1,39.11,14.51,4.67,23.69,48.82
STU00027,EC303,2,36.51,20.16,9.87,20.57,26.0
STU00028,CS303,1,50.0,25.0,15.0,25.0,67.41
STU00028,CS302,2,40.13,25.0,12.5,25.0,51.07
STU00029,ME301,1,37.86,18.37,4.4,15.11,34.17
STU00029,ME303,2,32.66,1.1,8.0,11.3,22.19
STU00029,ME305,3,43.38,21.87,9.53,11.51,42.59
STU00029,ME304,4,42.65,16.78,15.0,11.26,55.04
STU00029,ME303,5,35.49,11.38,9.11,25.0,54.94
STU00029,ME303,6,28.47,3.71,11.23,19.28,28.41
STU00030,EE305,1,50.0,25.0,15.0,25.0,76.65
STU00030,EE302,2,50.0,25.0,15.0,25.0,57.99
STU00030,EE304,3,33.8,25.0,9.13,25.0,52.61
STU00030,EE305,4,50.0,25.0,11.42,25.0,60.12
STU00030,EE305,5,50.0,25.0,15.0,25.0,71.21
STU00031,IT305,1,50.0,25.0,15.0,25.0,61.7
STU00031,IT305,2,50.0,25.0,15.0,21.1,68.11
STU00032,CS304,1,50.0,25.0,15.0,25.0,63.56
STU00032,CS305,2,47.54,25.0,11.62,25.0,55.2
STU00032,CS305,3,50.0,25.0,15.0,25.0,49.52
STU00033,EC302,1,48.56,25.0,9.55,16.42,74.82
STU00033,EC304,2,50.0,25.0,11.59,25.0,67.47
STU00033,EC302,3,50.0,25.0,15.0,25.0,62.82
STU00033,EC303,4,43.33,23.09,6.57,24.47,43.82
STU00033,EC304,5,41.21,25.0,10.12,23.71,62.28
STU00033,EC301,6,35.78,25.0,14.94,25.0,58.37
STU00034,ME303,1,50.0,22.06,12.87,18.56,80.94
STU00034,ME302,2,50.0,22.26,15.0,21.96,85.69
STU00034,ME305,3,50.0,25.0,15.0,25.0,86.48
STU00034,ME304,4,50.0,25.0,13.42,25.0,79.49
STU00034,ME301,5,42.94,25.0,12.34,25.0,41.28
STU00035,EC301,1,50.0,25.0,15.0,25.0,83.18
STU00035,EC303,2,50.0,25.0,15.0,25.0,89.58
STU00035,EC304,3,50.0,25.0,15.0,25.0,78.08
STU00036,ME301,1,41.82,10.9,0.41,20.96,71.31
STU00036,ME302,2,34.64,20.5,12.78,14.62,53.3
STU00036,ME302,3,37.17,25.0,13.55,18.48,51.21
STU00036,ME303,4,34.51,14.36,10.24,18.97,47.75
STU00036,ME305,5,35.96,10.16,14.18,25.0,56.02
STU00037,EE304,1,41.58,23.73,14.32,22.55,55.32
STU00037,EE301,2,32.77,20.96,7.67,11.72,56.58
STU00038,EC305,1,50.0,25.0,15.0,25.0,46.44
STU00038,EC301,2,44.34,24.94,15.0,17.92,38.75
STU00038,EC303,3,50.0,25.0,13.25,25.0,50.85
STU00038,EC304,4,45.52,25.0,12.3,25.0,59.75
STU00039,EC301,1,50.0,25.0,15.0,25.0,88.1
STU00039,EC305,2,50.0,25.0,15.0,25.0,68.43
STU00039,EC304,3,50.0,25.0,15.0,25.0,63.61
STU00040,CE305,1,50.0,25.0,10.59,21.51,53.42
STU00040,CE303,2,50.0,23.78,7.02,24.91,42.21
STU00040,CE305,3,50.0,24.2,15.0,25.0,28.9
STU00041,CS304,1,48.36,19.17,12.17,25.0,75.86
STU00041,CS302,2,49.04,25.0,11.15,25.0,54.37
STU00041,CS302,3,50.0,22.32,15.0,25.0,38.8
STU00042,CE304,1,50.0,25.0,15.0,25.0,99.5
STU00042,CE303,2,50.0,25.0,15.0,25.0,96.46
STU00042,CE304,3,50.0,25.0,15.0,25.0,92.57
STU00042,CE301,4,50.0,25.0,15.0,25.0,100.0
STU00043,CE304,1,47.36,14.62,15.0,22.58,43.25
STU00043,CE302,2,46.14,25.0,10.48,25.0,66.48
STU00043,CE302,3,49.52,25.0,15.0,20.96,75.2
STU00043,CE304,4,50.0,23.81,15.0,25.0,38.53
STU00043,CE303,5,50.0,25.0,7.39,25.0,48.47
STU00043,CE305,6,50.0,25.0,15.0,23.58,47.35
STU00044,EC302,1,50.0,25.0,15.0,25.0,63.83
STU00044,EC305,2,50.0,25.0,15.0,25.0,69.53
STU00045,EE303,1,50.0,21.49,13.92,25.0,60.8
STU00045,EE305,2,49.47,25.0,15.0,25.0,65.26
STU00045,EE304,3,44.9,25.0,15.0,20.34,59.73
STU00045,EE301,4,50.0,25.0,15.0,25.0,66.4
STU00046,CS303,1,50.0,19.08,15.0,25.0,56.63
STU00046,CS302,2,47.7,25.0,15.0,24.69,53.65
STU00046,CS302,3,50.0,25.0,13.52,25.0,57.76
STU00046,CS304,4,50.0,25.0,14.38,25.0,52.35
STU00047,CE301,1,49.19,23.54,15.0,25.0,57.14
STU00047,CE301,2,43.38,15.46,15.0,21.56,23.45
STU00047,CE304,3,50.0,19.24,15.0,20.73,58.39
STU00047,CE303,4,47.87,25.0,12.25,20.19,49.29
STU00047,CE301,5,50.0,25.0,12.85,21.27,50.36
STU00048,IT305,1,50.0,7.82,15.0,22.82,37.47
STU00048,IT303,2,50.0,25.0,15.0,25.0,40.21
STU00048,IT305,3,50.0,25.0,15.0,23.01,61.77
STU00048,IT304,4,47.26,16.9,15.0,17.72,68.56
STU00049,ME302,1,34.64,25.0,14.65,25.0,59.8
STU00049,ME302,2,50.0,25.0,11.91,16.67,35.6
STU00050,CE302,1,50.0,25.0,15.0,25.0,53.51
STU00050,CE303,2,50.0,25.0,14.09,25.0,69.51
STU00050,CE301,3,50.0,25.0,15.0,25.0,68.54
STU00050,CE302,4,40.85,25.0,15.0,25.0,51.87
STU00050,CE305,5,50.0,20.54,15.0,25.0,56.16
STU00051,CS304,1,50.0,11.05,15.0,13.31,64.14
STU00051,CS302,2,43.8,25.0,15.0,25.0,45.0
STU00051,CS302,3,35.47,19.14,13.84,24.97,42.03
STU00051,CS303,4,42.65,22.52,13.53,21.07,48.64
STU00052,IT304,1,50.0,23.31,15.0,14.63,39.94
STU00052,IT302,2,50.0,11.45,11.72,19.33,46.01
STU00053,CS305,1,50.0,13.6,0.0,18.32,57.73
STU00053,CS301,2,50.0,9.51,13.29,22.84,57.55
STU00053,CS305,3,45.66,17.45,13.91,19.86,58.03
STU00053,CS301,4,34.71,25.0,1.34,25.0,57.19
STU00053,CS302,5,45.07,20.66,11.03,19.13,42.18
STU00054,IT301,1,46.66,25.0,15.0,20.44,60.62
STU00054,IT305,2,50.0,25.0,15.0,21.23,60.91
STU00054,IT305,3,50.0,24.89,10.64,24.1,46.79
STU00055,EC301,1,34.85,11.7,13.75,23.05,19.42
STU00055,EC302,2,32.46,3.39,13.63,9.98,39.43
STU00055,EC301,3,50.0,25.0,11.5,14.47,48.4
STU00056,ME304,1,50.0,25.0,14.1,25.0,80.09
STU00056,ME302,2,50.0,25.0,15.0,25.0,74.59
STU00056,ME302,3,50.0,25.0,15.0,25.0,83.35
STU00056,ME303,4,50.0,25.0,15.0,25.0,99.83
STU00056,ME304,5,50.0,25.0,15.0,25.0,92.21
STU00057,EE302,1,42.14,25.0,15.0,24.91,58.82
STU00057,EE303,2,32.23,25.0,15.0,17.7,40.92
STU00057,EE304,3,43.26,25.0,11.14,22.13,51.84
STU00057,EE304,4,23.16,21.77,15.0,25.0,51.12
STU00057,EE301,5,50.0,25.0,15.0,23.23,59.43
STU00058,CS302,1,50.0,25.0,15.0,25.0,83.3
STU00058,CS302,2,50.0,25.0,15.0,25.0,83.14
STU00058,CS305,3,50.0,25.0,15.0,25.0,94.05
STU00058,CS301,4,50.0,25.0,15.0,25.0,82.19
STU00059,EE302,1,50.0,25.0,15.0,25.0,51.32
STU00059,EE304,2,50.0,25.0,15.0,25.0,80.14
STU00059,EE304,3,50.0,25.0,15.0,25.0,66.38
STU00059,EE305,4,50.0,25.0,15.0,25.0,72.22
STU00059,EE301,5,50.0,25.0,15.0,25.0,70.07
STU00060,IT301,1,50.0,19.43,15.0,25.0,82.59
STU00060,IT303,2,50.0,25.0,12.11,25.0,75.07
STU00060,IT304,3,50.0,23.06,15.0,25.0,78.18
STU00060,IT305,4,50.0,25.0,14.58,25.0,88.13
STU00060,IT301,5,50.0,25.0,15.0,25.0,60.79
STU00060,IT305,6,-5.0,25.0,15.0,25.0,79.36
STU00061,IT304,1,50.0,25.0,15.0,25.0,79.44
STU00061,IT302,2,50.0,25.0,15.0,25.0,81.7
STU00061,IT305,3,50.0,25.0,15.0,25.0,84.48
STU00061,IT303,4,50.0,25.0,15.0,25.0,61.32
STU00062,EC304,1,47.76,25.0,15.0,25.0,57.23
STU00062,EC304,2,46.24,10.41,15.0,22.61,46.28
STU00062,EC301,3,38.68,25.0,15.0,23.27,58.35
STU00062,EC305,4,50.0,21.08,15.0,22.27,36.15
STU00062,EC302,5,50.0,25.0,15.0,23.33,40.72
STU00062,EC301,6,50.0,25.0,11.5,24.1,45.54
STU00063,ME302,1,38.41,9.44,7.14,13.56,46.0
STU00063,ME303,2,50.0,25.0,5.25,24.56,53.25
STU00064,IT303,1,40.49,22.88,13.12,21.37,26.36
STU00064,IT305,2,42.67,23.03,11.1,25.0,38.26
STU00064,IT305,3,34.72,18.1,15.0,16.4,22.99
STU00064,IT304,4,40.42,21.08,10.24,14.32,33.99
STU00064,IT303,5,50.0,14.96,12.61,22.02,47.94
STU00065,EC305,1,50.0,25.0,15.0,25.0,85.02
STU00065,EC301,2,50.0,25.0,12.79,25.0,64.87
STU00065,EC302,3,50.0,25.0,15.0,20.95,71.98
STU00066,CE302,1,50.0,25.0,15.0,25.0,83.08
STU00066,CE304,2,50.0,22.7,12.68,25.0,78.03
STU00066,CE302,3,44.34,25.0,15.0,25.0,100.0
STU00067,CE301,1,50.0,22.1,15.0,24.46,73.37
STU00067,CE301,2,48.83,25.0,14.46,22.47,64.1
STU00067,CE303,3,50.0,25.0,10.08,18.74,89.16
STU00067,CE304,4,50.0,25.0,12.94,25.0,55.6
STU00067,CE301,5,50.0,25.0,15.0,21.33,63.11
STU00068,ME303,1,50.0,25.0,15.0,25.0,88.37
STU00068,ME302,2,50.0,25.0,15.0,25.0,74.38
STU00069,CE302,1,50.0,25.0,15.0,25.0,68.65
STU00069,CE305,2,50.0,25.0,15.0,25.0,83.33
STU00069,CE305,3,50.0,25.0,15.0,25.0,81.06
STU00070,EE305,1,46.98,22.79,14.4,25.0,60.43
STU00070,EE304,2,40.85,15.47,9.58,14.87,38.16
STU00070,EE302,3,50.0,24.98,15.0,17.46,57.83
STU00070,EE301,4,34.76,25.0,8.1,24.19,31.17
STU00070,EE301,5,48.05,23.23,10.15,15.36,24.02
STU00070,EE301,6,40.1,19.1,15.0,23.42,51.37
STU00071,ME305,1,40.32,19.4,13.87,25.0,58.18
STU00071,ME303,2,50.0,25.0,13.45,25.0,46.94
STU00071,ME301,3,45.18,10.54,14.04,7.74,52.7
STU00071,ME304,4,31.15,25.0,15.0,20.36,57.34
STU00072,ME303,1,50.0,25.0,15.0,25.0,77.87
STU00072,ME303,2,50.0,15.49,15.0,25.0,59.95
STU00072,ME305,3,50.0,25.0,15.0,25.0,64.66
STU00072,ME303,4,50.0,25.0,15.0,25.0,79.22
STU00072,ME302,5,50.0,25.0,15.0,25.0,70.87
STU00073,IT303,1,37.97,18.72,8.86,13.4,41.59
STU00073,IT301,2,42.08,15.24,15.0,10.46,42.75
STU00073,IT301,3,41.5,8.75,12.3,16.18,58.05
STU00073,IT303,4,50.0,25.0,15.0,23.39,51.79
STU00074,IT304,1,50.0,25.0,10.62,23.93,36.1
STU00074,IT301,2,33.75,25.0,15.0,25.0,38.59
STU00074,IT302,3,26.57,14.1,6.75,14.58,34.03
STU00075,IT303,1,50.0,25.0,15.0,25.0,69.99
STU00075,IT301,2,50.0,25.0,15.0,25.0,68.71
STU00075,IT304,3,50.0,25.0,15.0,25.0,49.5
STU00075,IT303,4,50.0,25.0,15.0,25.0,78.06
STU00075,IT303,5,49.97,25.0,15.0,25.0,75.82
STU00076,IT305,1,49.75,25.0,15.0,25.0,70.88
STU00076,IT304,2,50.0,25.0,15.0,25.0,75.52
STU00076,IT304,3,50.0,25.0,15.0,25.0,61.12
STU00076,IT303,4,50.0,18.49,15.0,25.0,60.98
STU00077,IT304,1,50.0,14.93,15.0,25.0,64.13
STU00077,IT305,2,50.0,18.59,11.68,22.69,52.18
STU00078,IT304,1,44.26,7.53,12.2,12.7,70.32
STU00078,IT301,2,43.62,22.76,15.0,25.0,49.94
STU00078,IT304,3,50.0,25.0,15.0,21.35,43.93
STU00078,IT302,4,40.43,7.56,8.25,18.43,69.13
STU00078,IT305,5,37.59,20.26,15.0,13.19,29.71
STU00079,ME304,1,50.0,18.32,10.88,25.0,25.48
STU00079,ME301,2,20.73,16.95,15.0,15.67,48.62
STU00079,ME303,3,48.62,22.66,10.0,22.91,56.49
STU00079,ME302,4,30.78,16.6,11.49,16.86,68.74
STU00080,CE305,1,40.73,21.21,10.47,12.78,52.45
STU00080,CE303,2,50.0,23.28,15.0,17.47,70.4
STU00080,CE305,3,44.99,8.09,7.53,20.75,52.31
STU00081,EE305,1,34.81,20.77,6.38,25.0,52.13
STU00081,EE305,2,50.0,25.0,7.05,20.0,24.11
STU00082,CS301,1,37.78,25.0,15.0,23.17,45.0
STU00082,CS305,2,45.44,23.36,15.0,12.88,69.89
STU00082,CS303,3,50.0,24.62,15.0,25.0,41.82
STU00082,CS305,4,43.24,25.0,15.0,20.09,45.53
STU00082,CS305,5,45.29,17.06,6.44,16.91,55.39
STU00083,EC304,1,40.07,12.97,13.19,25.0,54.91
STU00083,EC302,2,41.44,19.96,7.8,22.22,67.77
STU00084,CE301,1,50.0,13.84,15.0,25.0,71.33
STU00084,CE303,2,27.52,25.0,3.91,19.98,54.62
STU00085,CE304,1,38.14,25.0,15.0,25.0,64.3
STU00085,CE305,2,30.18,18.87,9.85,25.0,37.5
STU00085,CE303,3,37.47,25.0,15.0,22.31,45.09
STU00085,CE302,4,50.0,13.76,14.45,25.0,50.25
STU00085,CE301,5,49.06,17.41,14.67,11.4,57.34
STU00085,CE301,6,37.16,17.56,15.0,25.0,47.24
STU00086,CS301,1,50.0,25.0,15.0,25.0,74.52
STU00086,CS304,2,50.0,25.0,15.0,25.0,85.36
STU00086,CS301,3,50.0,25.0,15.0,25.0,55.15
STU00086,CS304,4,50.0,25.0,15.0,25.0,73.74
STU00086,CS304,5,50.0,25.0,15.0,25.0,90.39
STU00086,CS303,6,50.0,25.0,15.0,25.0,74.15
STU00087,CS303,1,41.89,25.0,15.0,16.59,76.55
STU00087,CS302,2,50.0,25.0,15.0,24.41,45.15
STU00087,CS301,3,50.0,24.9,12.92,23.82,62.61
STU00087,CS301,4,50.0,19.0,9.75,15.74,35.94
STU00087,CS302,5,50.0,25.0,15.0,18.69,74.88
STU00088,EE304,1,30.98,25.0,15.0,20.04,54.03
STU00088,EE302,2,38.79,7.73,7.25,18.32,40.8
STU00088,EE305,3,33.89,22.21,14.11,19.94,40.52
STU00089,IT303,1,39.54,19.99,15.0,17.82,44.08
STU00089,IT302,2,40.15,22.27,15.0,25.0,29.37
STU00090,ME301,1,50.0,25.0,15.0,25.0,81.49
STU00090,ME302,2,50.0,25.0,15.0,25.0,57.13
STU00090,ME304,3,50.0,25.0,15.0,14.3,95.46
STU00090,ME304,4,50.0,25.0,15.0,25.0,54.79
STU00090,ME304,5,50.0,25.0,13.82,25.0,55.41
STU00091,EE303,1,45.21,23.78,9.48,21.14,72.21
STU00091,EE301,2,50.0,20.48,15.0,25.0,63.63
STU00091,EE301,3,48.87,24.59,12.03,15.99,57.72
STU00092,EC304,1,26.47,24.14,15.0,16.33,51.98
STU00092,EC305,2,50.0,17.03,6.79,19.91,71.71
STU00092,EC301,3,31.05,25.0,15.0,25.0,37.14
STU00092,EC304,4,32.51,25.0,14.23,25.0,64.49
STU00092,EC305,5,50.0,8.22,12.5,24.94,48.37
STU00093,EC301,1,38.1,15.1,9.99,21.18,35.44
STU00093,EC304,2,18.04,16.75,4.68,10.91,22.97
STU00093,EC305,3,30.12,5.68,5.36,9.23,47.63
STU00094,CS304,1,45.96,11.01,15.0,19.84,36.87
STU00094,CS301,2,28.52,12.36,15.0,9.72,34.62
STU00094,CS305,3,42.25,10.92,9.27,24.99,50.33
STU00094,CS304,4,27.11,11.98,14.51,8.56,32.01
STU00095,CS302,1,50.0,25.0,15.0,25.0,56.64
STU00095,CS302,2,50.0,25.0,15.0,25.0,67.5
STU00096,IT304,1,40.65,25.0,15.0,25.0,57.29
STU00096,IT305,2,50.0,25.0,15.0,25.0,76.5
STU00096,IT305,3,50.0,25.0,15.0,23.0,61.31
STU00096,IT305,4,50.0,25.0,15.0,25.0,76.1
STU00097,CE303,1,50.0,23.06,15.0,25.0,43.71
STU00097,CE304,2,50.0,24.89,7.59,16.72,58.08
STU00097,CE304,3,47.6,23.87,15.0,25.0,35.05
STU00098,CS302,1,38.84,25.0,13.77,17.73,68.06
STU00098,CS301,2,47.55,24.84,15.0,25.0,68.34
STU00098,CS302,3,46.42,25.0,15.0,25.0,60.94
STU00098,CS302,4,50.0,25.0,15.0,24.97,76.2
STU00098,CS305,5,50.0,25.0,15.0,25.0,57.2
STU00098,CS301,6,50.0,25.0,15.0,23.59,52.25
STU00099,EE303,1,50.0,25.0,15.0,25.0,63.91
STU00099,EE302,2,44.94,17.52,11.14,25.0,53.1
STU00099,EE301,3,48.49,25.0,12.95,25.0,48.64
STU00099,EE303,4,50.0,25.0,15.0,25.0,55.77
STU00099,EE302,5,50.0,25.0,15.0,20.18,52.17
STU00100,CE301,1,38.27,25.0,6.54,25.0,59.56
STU00100,CE303,2,49.1,25.0,7.86,20.14,47.8
STU00100,CE301,3,37.55,22.28,12.32,20.1,40.88
STU00100,CE301,4,46.08,14.65,6.01,17.89,63.92
STU00100,CE304,5,46.24,9.42,8.95,21.94,56.06
STU00100,CE303,6,49.9,16.73,3.86,19.97,61.64
STU00101,EC305,1,50.0,16.25,15.0,20.91,66.68
STU00101,EC302,2,50.0,16.93,6.21,22.3,49.72
STU00102,ME304,1,-5.0,25.0,14.58,25.0,65.76
STU00102,ME301,2,50.0,25.0,15.0,25.0,44.22
STU00103,ME305,1,45.25,25.0,15.0,25.0,51.04
STU00103,ME305,2,43.74,20.2,14.22,23.04,67.8
STU00103,ME305,3,43.49,25.0,15.0,13.14,78.58
STU00103,ME302,4,50.0,25.0,15.0,25.0,61.22
STU00103,ME302,5,50.0,9.91,15.0,21.19,77.48
STU00103,ME302,6,30.38,24.68,4.3,22.56,74.12
STU00104,ME305,1,50.0,11.37,15.0,25.0,74.94
STU00104,ME301,2,50.0,25.0,15.0,25.0,66.29
STU00104,ME303,3,50.0,24.84,15.0,25.0,76.97
STU00104,ME302,4,50.0,25.0,15.0,25.0,59.08
STU00104,ME302,5,50.0,25.0,15.0,25.0,72.06
STU00105,CS301,1,50.0,25.0,15.0,20.76,58.29
STU00105,CS304,2,46.06,24.26,7.36,25.0,56.15
STU00105,CS303,3,41.09,8.13,11.37,20.35,56.89
STU00105,CS301,4,50.0,22.74,15.0,19.85,36.1
STU00105,CS303,5,49.72,18.05,12.65,22.61,31.28
STU00106,EC302,1,50.0,25.0,15.0,25.0,55.24
STU00106,EC305,2,41.1,25.0,12.23,25.0,62.92
STU00106,EC302,3,50.0,23.91,15.0,25.0,64.59
STU00106,EC304,4,50.0,25.0,15.0,25.0,84.23
STU00107,EE304,1,50.0,25.0,15.0,25.0,67.36
STU00107,EE301,2,50.0,25.0,15.0,25.0,63.1
STU00107,EE302,3,50.0,24.86,10.19,25.0,60.51
STU00107,EE305,4,50.0,25.0,15.0,25.0,56.17
STU00107,EE301,5,50.0,25.0,15.0,25.0,81.73
STU00108,EC304,1,36.13,17.2,3.85,9.58,22.79
STU00108,EC304,2,20.85,13.7,6.61,20.28,12.12
STU00108,EC304,3,14.75,0.0,13.52,15.46,48.57
STU00108,EC302,4,31.06,4.5,15.0,11.83,40.48
STU00109,IT303,1,47.29,25.0,15.0,25.0,71.26
STU00109,IT304,2,50.0,25.0,15.0,25.0,73.77
STU00109,IT303,3,50.0,25.0,15.0,25.0,70.24
STU00109,IT301,4,50.0,25.0,12.37,25.0,46.7
STU00109,IT305,5,50.0,21.35,15.0,25.0,61.61
STU00109,IT304,6,50.0,25.0,11.74,25.0,85.44
STU00110,CS305,1,27.12,12.88,15.0,11.86,24.61
STU00110,CS303,2,23.7,23.17,13.74,17.25,55.86
STU00110,CS302,3,38.44,25.0,6.44,15.13,56.22
STU00111,ME301,1,50.0,25.0,15.0,25.0,45.81
STU00111,ME304,2,50.0,25.0,14.48,25.0,65.18
STU00112,CS305,1,40.92,25.0,15.0,25.0,58.31
STU00112,CS302,2,50.0,23.81,15.0,24.84,62.59
STU00112,CS305,3,50.0,25.0,15.0,13.76,86.7
STU00112,CS305,4,50.0,23.74,14.77,23.87,45.01
STU00112,CS302,5,50.0,25.0,10.01,22.59,50.63
STU00112,CS301,6,50.0,25.0,15.0,25.0,57.58
STU00113,EE303,1,45.74,25.0,14.49,10.27,44.61
STU00113,EE305,2,35.83,14.04,14.93,16.9,50.05
STU00113,EE301,3,38.96,25.0,15.0,20.33,44.73
STU00114,IT305,1,50.0,23.43,15.0,25.0,83.69
STU00114,IT301,2,50.0,21.48,11.08,20.27,73.68
STU00114,IT301,3,48.75,25.0,15.0,25.0,70.38
STU00114,IT303,4,50.0,25.0,15.0,21.21,78.38
STU00115,ME303,1,50.0,21.64,15.0,25.0,61.83
STU00115,ME305,2,44.13,25.0,4.57,18.53,45.58
STU00115,ME303,3,50.0,25.0,15.0,25.0,42.85
STU00115,ME303,4,47.62,25.0,15.0,20.3,51.24
STU00115,ME304,5,38.89,25.0,15.0,22.38,59.11
STU00116,CE303,1,45.79,22.73,15.0,18.02,77.25
STU00116,CE303,2,48.0,25.0,13.4,25.0,63.98
STU00117,EC302,1,35.96,24.99,6.89,25.0,34.58
STU00117,EC304,2,50.0,20.5,9.26,18.6,55.04
STU00118,ME301,1,-5.0,25.0,15.0,25.0,93.06
STU00118,ME302,2,50.0,25.0,15.0,25.0,57.59
