student_id,course_id,semester,total_classes,attended_classes,attendance_percentage
STU00015,CE304,1,69,41,59.42
STU00015,CE304,2,56,42,75.0
STU00015,CE301,3,60,41,68.33
STU00015,CE305,4,64,45,70.31
STU00016,EC304,1,68,38,55.88
STU00016,EC302,2,64,47,73.44
STU00016,EC304,3,70,48,68.57
STU00017,EC305,1,70,45,64.29
STU00017,EC305,2,70,44,62.86
STU00018,IT305,1,60,54,90.0
STU00018,IT305,2,56,48,85.71
STU00018,IT304,3,63,47,74.6
STU00018,IT304,4,67,56,83.58
STU00018,IT305,5,66,58,87.88
STU00019,CS303,1,56,39,69.64
STU00019,CS301,2,56,40,71.43
STU00019,CS302,3,66,43,65.15
STU00019,CS303,4,55,33,60.0
STU00020,IT304,1,58,54,93.1
STU00020,IT304,2,66,61,92.42
STU00020,IT303,3,68,63,92.65
STU00020,IT303,4,56,42,75.0
STU00021,IT302,1,62,35,56.45
STU00021,IT303,2,57,39,68.42
STU00021,IT301,3,64,40,62.5
STU00022,EE303,1,60,42,70.0
STU00022,EE301,2,65,45,69.23
STU00023,CS304,1,68,52,76.47
STU00023,CS305,2,68,56,82.35
STU00024,EE301,1,70,48,68.57
STU00024,EE305,2,55,39,70.91
STU00024,EE303,3,67,49,73.13
STU00024,EE305,4,67,56,83.58
STU00025,ME305,1,58,39,67.24
STU00025,ME304,2,58,49,84.48
STU00025,ME302,3,65,55,84.62
STU00025,ME304,4,65,49,75.38
STU00026,CE305,1,64,43,67.19
STU00026,CE303,2,68,56,82.35
STU00026,CE302,3,70,51,72.86
STU00027,EC305,1,61,44,72.13
STU00027,EC303,2,63,39,61.9
STU00028,CS303,1,67,56,83.58
STU00028,CS302,2,57,45,78.95
STU00029,ME301,1,65,45,69.23
STU00029,ME303,2,57,36,63.16
STU00029,ME305,3,70,47,67.14
STU00029,ME304,4,61,36,59.02
STU00029,ME303,5,57,38,66.67
STU00029,ME303,6,64,35,54.69
STU00030,EE305,1,65,63,96.92
STU00030,EE302,2,68,53,77.94
STU00030,EE304,3,63,56,88.89
STU00030,EE305,4,69,57,82.61
STU00030,EE305,5,60,48,80.0
STU00031,IT305,1,60,48,80.0
STU00031,IT305,2,70,39,55.71
STU00032,CS304,1,63,56,88.89
STU00032,CS305,2,68,59,86.76
STU00032,CS305,3,56,53,94.64
STU00033,EC302,1,66,51,77.27
STU00033,EC304,2,59,39,66.1
STU00033,EC302,3,59,37,62.71
STU00033,EC303,4,68,52,76.47
STU00033,EC304,5,65,41,63.08
STU00033,EC301,6,61,48,78.69
STU00034,ME303,1,64,51,79.69
STU00034,ME302,2,63,48,76.19
STU00034,ME305,3,62,48,77.42
STU00034,ME304,4,62,45,72.58
STU00034,ME301,5,59,44,74.58
STU00035,EC301,1,62,50,80.65
STU00035,EC303,2,69,54,78.26
STU00035,EC304,3,68,62,91.18
STU00036,ME301,1,61,32,52.46
STU00036,ME302,2,63,47,74.6
STU00036,ME302,3,55,37,67.27
STU00036,ME303,4,63,37,58.73
STU00036,ME305,5,60,36,60.0
STU00037,EE304,1,55,39,70.91
STU00037,EE301,2,57,46,80.7
STU00038,EC305,1,64,42,65.62
STU00038,EC301,2,68,51,75.0
STU00038,EC303,3,57,42,73.68
STU00038,EC304,4,59,46,77.97
STU00039,EC301,1,58,49,84.48
STU00039,EC305,2,63,55,87.3
STU00039,EC304,3,57,53,92.98
STU00040,CE305,1,58,44,75.86
STU00040,CE303,2,65,51,78.46
STU00040,CE305,3,67,50,74.63
STU00041,CS304,1,61,41,67.21
STU00041,CS302,2,58,42,72.41
STU00041,CS302,3,61,45,73.77
STU00042,CE304,1,68,62,91.18
STU00042,CE303,2,56,50,89.29
STU00042,CE304,3,66,59,89.39
STU00042,CE301,4,65,61,93.85
STU00043,CE304,1,70,53,75.71
STU00043,CE302,2,63,46,73.02
STU00043,CE302,3,66,47,71.21
STU00043,CE304,4,66,56,84.85
STU00043,CE303,5,55,37,67.27
STU00043,CE305,6,56,44,78.57
STU00044,EC302,1,63,43,68.25
STU00044,EC305,2,67,56,83.58
STU00045,EE303,1,58,58,100.0
STU00045,EE305,2,62,54,87.1
STU00045,EE304,3,67,51,76.12
STU00045,EE301,4,67,55,82.09
STU00046,CS303,1,57,45,78.95
STU00046,CS302,2,64,45,70.31
STU00046,CS302,3,60,53,88.33
STU00046,CS304,4,65,48,73.85
STU00047,CE301,1,63,42,66.67
STU00047,CE301,2,70,61,87.14
STU00047,CE304,3,68,50,73.53
STU00047,CE303,4,68,54,79.41
STU00047,CE301,5,60,38,63.33
STU00048,IT305,1,57,46,80.7
STU00048,IT303,2,68,62,91.18
STU00048,IT305,3,65,52,80.0
STU00048,IT304,4,55,41,74.55
STU00049,ME302,1,69,61,88.41
STU00049,ME302,2,55,43,78.18
STU00050,CE302,1,64,50,78.12
STU00050,CE303,2,57,46,80.7
STU00050,CE301,3,60,52,86.67
STU00050,CE302,4,59,48,81.36
STU00050,CE305,5,68,52,76.47
STU00051,CS304,1,70,56,80.0
STU00051,CS302,2,63,45,71.43
STU00051,CS302,3,65,56,86.15
STU00051,CS303,4,61,45,73.77
STU00052,IT304,1,66,56,84.85
STU00052,IT302,2,67,54,80.6
STU00053,CS305,1,62,44,-1.0
STU00053,CS301,2,55,38,69.09
STU00053,CS305,3,62,41,66.13
STU00053,CS301,4,69,44,63.77
STU00053,CS302,5,63,47,74.6
STU00054,IT301,1,67,51,76.12
STU00054,IT305,2,68,57,83.82
STU00054,IT305,3,63,50,79.37
STU00055,EC301,1,66,44,66.67
STU00055,EC302,2,58,37,63.79
STU00055,EC301,3,68,46,67.65
STU00056,ME304,1,58,57,98.28
STU00056,ME302,2,61,58,95.08
STU00056,ME302,3,63,57,90.48
STU00056,ME303,4,70,53,75.71
STU00056,ME304,5,59,59,100.0
STU00057,EE302,1,61,44,72.13
STU00057,EE303,2,61,40,65.57
STU00057,EE304,3,60,47,78.33
STU00057,EE304,4,59,39,66.1
STU00057,EE301,5,64,53,82.81
STU00058,CS302,1,69,57,82.61
STU00058,CS302,2,66,60,90.91
STU00058,CS305,3,69,69,100.0
STU00058,CS301,4,55,50,90.91
STU00059,EE302,1,65,59,90.77
STU00059,EE304,2,61,58,95.08
STU00059,EE304,3,68,64,94.12
STU00059,EE305,4,63,57,90.48
STU00059,EE301,5,58,51,-1.0
STU00060,IT301,1,56,46,82.14
STU00060,IT303,2,62,55,88.71
STU00060,IT304,3,66,57,86.36
STU00060,IT305,4,56,51,91.07
STU00060,IT301,5,63,57,90.48
STU00060,IT305,6,67,50,74.63
STU00061,IT304,1,66,63,95.45
STU00061,IT302,2,56,45,80.36
STU00061,IT305,3,60,60,100.0
STU00061,IT303,4,60,57,95.0
STU00062,EC304,1,65,42,64.62
STU00062,EC304,2,59,48,81.36
STU00062,EC301,3,65,54,83.08
STU00062,EC305,4,68,44,64.71
STU00062,EC302,5,63,49,77.78
STU00062,EC301,6,65,52,80.0
STU00063,ME302,1,70,44,62.86
STU00063,ME303,2,66,44,66.67
STU00064,IT303,1,63,48,76.19
STU00064,IT305,2,63,35,55.56
STU00064,IT305,3,65,45,69.23
STU00064,IT304,4,60,38,63.33
STU00064,IT303,5,70,51,72.86
STU00065,EC305,1,69,65,94.2
STU00065,EC301,2,61,56,91.8
STU00065,EC302,3,56,52,92.86
STU00066,CE302,1,56,47,83.93
STU00066,CE304,2,63,63,100.0
STU00066,CE302,3,69,60,86.96
STU00067,CE301,1,70,62,88.57
STU00067,CE301,2,69,63,91.3
STU00067,CE303,3,70,55,78.57
STU00067,CE304,4,70,58,82.86
STU00067,CE301,5,59,52,88.14
STU00068,ME303,1,57,51,89.47
STU00068,ME302,2,64,52,81.25
STU00069,CE302,1,63,54,85.71
STU00069,CE305,2,61,61,100.0
STU00069,CE305,3,55,55,100.0
STU00070,EE305,1,60,44,73.33
STU00070,EE304,2,57,49,85.96
STU00070,EE302,3,70,45,64.29
STU00070,EE301,4,65,40,61.54
STU00070,EE301,5,64,42,65.62
STU00070,EE301,6,67,51,76.12
STU00071,ME305,1,58,39,67.24
STU00071,ME303,2,59,46,77.97
STU00071,ME301,3,57,47,82.46
STU00071,ME304,4,70,46,65.71
STU00072,ME303,1,55,51,92.73
STU00072,ME303,2,56,49,87.5
STU00072,ME305,3,69,58,84.06
STU00072,ME303,4,59,56,94.92
STU00072,ME302,5,56,48,85.71
STU00073,IT303,1,56,35,62.5
STU00073,IT301,2,67,43,64.18
STU00073,IT301,3,67,42,62.69
STU00073,IT303,4,60,41,68.33
STU00074,IT304,1,57,38,66.67
STU00074,IT301,2,61,39,63.93
STU00074,IT302,3,67,46,68.66
STU00075,IT303,1,59,50,84.75
STU00075,IT301,2,64,56,87.5
STU00075,IT304,3,68,56,82.35
STU00075,IT303,4,59,50,84.75
STU00075,IT303,5,58,58,100.0
STU00076,IT305,1,61,49,80.33
STU00076,IT304,2,69,56,81.16
STU00076,IT304,3,70,58,82.86
STU00076,IT303,4,68,53,77.94
STU00077,IT304,1,66,36,54.55
STU00077,IT305,2,60,46,76.67
STU00078,IT304,1,57,32,56.14
STU00078,IT301,2,65,49,75.38
STU00078,IT304,3,62,38,61.29
STU00078,IT302,4,70,51,72.86
STU00078,IT305,5,57,45,78.95
STU00079,ME304,1,68,52,76.47
STU00079,ME301,2,70,50,71.43
STU00079,ME303,3,59,41,69.49
STU00079,ME302,4,64,52,81.25
STU00080,CE305,1,68,51,75.0
STU00080,CE303,2,56,35,62.5
STU00080,CE305,3,57,46,80.7
STU00081,EE305,1,58,42,72.41
STU00081,EE305,2,68,50,73.53
STU00082,CS301,1,69,50,72.46
STU00082,CS305,2,63,50,79.37
STU00082,CS303,3,63,39,61.9
STU00082,CS305,4,57,42,73.68
STU00082,CS305,5,55,29,52.73
STU00083,EC304,1,60,43,71.67
STU00083,EC302,2,67,55,82.09
STU00084,CE301,1,68,45,66.18
STU00084,CE303,2,65,39,60.0
STU00085,CE304,1,69,46,66.67
STU00085,CE305,2,63,55,87.3
STU00085,CE303,3,60,39,65.0
STU00085,CE302,4,60,45,75.0
STU00085,CE301,5,63,50,79.37
STU00085,CE301,6,68,50,73.53
STU00086,CS301,1,55,48,87.27
STU00086,CS304,2,58,58,100.0
STU00086,CS301,3,60,55,91.67
STU00086,CS304,4,69,69,100.0
STU00086,CS304,5,70,69,98.57
STU00086,CS303,6,66,62,93.94
STU00087,CS303,1,57,41,71.93
STU00087,CS302,2,59,45,76.27
STU00087,CS301,3,61,55,90.16
STU00087,CS301,4,55,33,60.0
STU00087,CS302,5,55,43,78.18
STU00088,EE304,1,59,42,71.19
STU00088,EE302,2,68,51,75.0
STU00088,EE305,3,61,52,85.25
STU00089,IT303,1,69,62,89.86
STU00089,IT302,2,70,48,68.57
STU00090,ME301,1,58,52,89.66
STU00090,ME302,2,59,51,86.44
STU00090,ME304,3,70,58,82.86
STU00090,ME304,4,55,55,100.0
STU00090,ME304,5,62,53,85.48
STU00091,EE303,1,67,36,53.73
STU00091,EE301,2,65,48,73.85
STU00091,EE301,3,58,41,70.69
STU00092,EC304,1,70,59,84.29
STU00092,EC305,2,64,40,62.5
STU00092,EC301,3,70,49,70.0
STU00092,EC304,4,70,54,77.14
STU00092,EC305,5,70,51,72.86
STU00093,EC301,1,55,39,70.91
STU00093,EC304,2,65,41,63.08
STU00093,EC305,3,57,30,52.63
STU00094,CS304,1,70,53,75.71
STU00094,CS301,2,70,51,72.86
STU00094,CS305,3,66,47,71.21
STU00094,CS304,4,68,55,80.88
STU00095,CS302,1,64,53,82.81
STU00095,CS302,2,70,50,71.43
STU00096,IT304,1,62,51,82.26
STU00096,IT305,2,62,55,88.71
STU00096,IT305,3,65,54,83.08
STU00096,IT305,4,69,69,100.0
STU00097,CE303,1,67,53,79.1
STU00097,CE304,2,66,57,86.36
STU00097,CE304,3,60,57,95.0
STU00098,CS302,1,64,47,73.44
STU00098,CS301,2,70,56,80.0
STU00098,CS302,3,60,57,95.0
STU00098,CS302,4,60,51,85.0
STU00098,CS305,5,70,62,88.57
STU00098,CS301,6,68,45,66.18
STU00099,EE303,1,62,57,91.94
STU00099,EE302,2,56,41,73.21
STU00099,EE301,3,66,58,87.88
STU00099,EE303,4,66,48,72.73
STU00099,EE302,5,60,51,85.0
STU00100,CE301,1,57,39,68.42
STU00100,CE303,2,68,46,67.65
STU00100,CE301,3,62,43,69.35
STU00100,CE301,4,62,38,61.29
STU00100,CE304,5,63,47,74.6
STU00100,CE303,6,66,51,77.27
STU00101,EC305,1,63,45,71.43
STU00101,EC302,2,58,43,74.14
STU00102,ME304,1,69,53,76.81
STU00102,ME301,2,58,50,86.21
STU00103,ME305,1,58,33,56.9
STU00103,ME305,2,56,45,80.36
STU00103,ME305,3,58,47,81.03
STU00103,ME302,4,58,44,75.86
STU00103,ME302,5,66,44,66.67
STU00103,ME302,6,64,52,81.25
STU00104,ME305,1,70,51,72.86
STU00104,ME301,2,59,49,83.05
STU00104,ME303,3,65,51,78.46
STU00104,ME302,4,58,45,77.59
STU00104,ME302,5,69,63,91.3
STU00105,CS301,1,62,46,74.19
STU00105,CS304,2,65,44,67.69
STU00105,CS303,3,60,44,73.33
STU00105,CS301,4,63,44,69.84
STU00105,CS303,5,68,44,64.71
STU00106,EC302,1,59,47,79.66
STU00106,EC305,2,68,54,79.41
STU00106,EC302,3,59,44,74.58
STU00106,EC304,4,68,55,80.88
STU00107,EE304,1,66,54,81.82
STU00107,EE301,2,69,55,79.71
STU00107,EE302,3,55,45,81.82
STU00107,EE305,4,57,49,85.96
STU00107,EE301,5,65,50,76.92
STU00108,EC304,1,60,23,38.33
STU00108,EC304,2,56,31,55.36
STU00108,EC304,3,56,37,66.07
STU00108,EC302,4,56,36,64.29
STU00109,IT303,1,68,58,85.29
STU00109,IT304,2,64,55,85.94
STU00109,IT303,3,66,52,78.79
STU00109,IT301,4,63,59,93.65
STU00109,IT305,5,59,52,88.14
STU00109,IT304,6,69,63,91.3
STU00110,CS305,1,69,45,65.22
STU00110,CS303,2,67,46,68.66
STU00110,CS302,3,64,44,68.75
STU00111,ME301,1,65,48,73.85
STU00111,ME304,2,59,50,84.75
STU00112,CS305,1,64,50,78.12
STU00112,CS302,2,57,47,82.46
STU00112,CS305,3,64,46,71.88
STU00112,CS305,4,65,49,75.38
STU00112,CS302,5,55,46,83.64
STU00112,CS301,6,63,46,73.02
STU00113,EE303,1,68,35,51.47
STU00113,EE305,2,58,46,79.31
STU00113,EE301,3,66,45,68.18
STU00114,IT305,1,66,44,66.67
STU00114,IT301,2,56,52,92.86
STU00114,IT301,3,69,54,78.26
STU00114,IT303,4,55,49,89.09
STU00115,ME303,1,62,40,64.52
STU00115,ME305,2,62,56,90.32
STU00115,ME303,3,64,51,79.69
STU00115,ME303,4,59,41,69.49
STU00115,ME304,5,62,54,87.1
STU00116,CE303,1,61,47,77.05
STU00116,CE303,2,69,51,73.91
STU00117,EC302,1,68,49,72.06
STU00117,EC304,2,57,34,59.65
STU00118,ME301,1,68,61,89.71
STU00118,ME302,2,70,63,90.0
STU00119,EC304,1,57,51,89.47
STU00119,EC303,2,67,48,71.64
STU00119,EC305,3,67,52,77.61
STU00120,EE305,1,70,50,71.43
STU00120,EE304,2,69,62,89.86
STU00120,EE304,3,68,55,80.88
STU00120,EE302,4,59,56,94.92
STU00121,CE302,1,70,47,67.14
STU00121,CE304,2,59,44,74.58
STU00121,CE305,3,58,47,81.03
STU00121,CE302,4,69,47,68.12
STU00121,CE304,5,56,47,83.93
STU00121,CE302,6,66,55,83.33
STU00122,IT305,1,68,45,66.18
STU00122,IT301,2,58,43,74.14
STU00123,EE305,1,64,46,71.88
STU00123,EE301,2,59,46,77.97
STU00123,EE301,3,66,50,75.76
STU00123,EE303,4,66,45,68.18
STU00124,EE303,1,70,57,81.43
STU00124,EE301,2,59,47,79.66
STU00124,EE302,3,68,58,85.29
STU00124,EE301,4,64,52,81.25
STU00125,EC302,1,60,38,63.33
STU00125,EC304,2,55,37,67.27
STU00125,EC301,3,66,54,81.82
STU00125,EC301,4,56,28,50.0
STU00126,CS304,1,64,39,60.94
STU00126,CS305,2,69,46,66.67
STU00126,CS303,3,67,39,58.21
STU00126,CS304,4,59,40,67.8
STU00126,CS302,5,69,56,81.16
STU00127,CS304,1,59,46,77.97
STU00127,CS303,2,57,49,85.96
STU00127,CS305,3,68,45,66.18
STU00127,CS304,4,62,53,85.48
STU00127,CS304,5,65,56,86.15
STU00128,EE301,1,69,56,81.16
STU00128,EE303,2,57,46,80.7
STU00128,EE302,3,55,47,85.45
STU00128,EE305,4,64,46,71.88
STU00128,EE305,5,58,46,79.31
STU00128,EE305,6,57,51,89.47
STU00129,IT305,1,56,52,-1.0
STU00129,IT305,2,61,54,88.52
STU00129,IT304,3,55,48,87.27
STU00130,CS305,1,60,44,73.33
STU00130,CS301,2,63,47,74.6
STU00131,CE302,1,69,39,56.52
STU00131,CE301,2,65,43,66.15
STU00131,CE304,3,56,46,82.14
STU00132,EC301,1,65,49,75.38
STU00132,EC304,2,60,48,80.0
STU00132,EC304,3,55,47,85.45
STU00132,EC305,4,65,53,81.54
STU00132,EC304,5,63,48,76.19
STU00133,IT301,1,58,38,65.52
STU00133,IT305,2,60,46,76.67
STU00134,ME302,1,60,33,55.0
STU00134,ME303,2,57,51,89.47
STU00134,ME302,3,64,47,73.44
STU00134,ME304,4,60,56,93.33
STU00135,EC305,1,65,61,93.85
STU00135,EC302,2,55,42,76.36
STU00136,EC303,1,67,46,68.66
STU00136,EC301,2,65,52,80.0
STU00137,ME304,1,65,36,55.38
STU00137,ME303,2,67,52,77.61
STU00137,ME301,3,56,40,71.43
STU00138,CS302,1,62,39,62.9
STU00138,CS304,2,67,45,67.16
STU00138,CS301,3,63,45,71.43
STU00139,CE303,1,69,58,84.06
STU00139,CE305,2,68,53,77.94
STU00140,EC304,1,55,43,78.18
STU00140,EC304,2,62,42,67.74
STU00141,CE303,1,58,38,65.52
STU00141,CE302,2,59,42,71.19
STU00142,ME305,1,68,55,80.88
STU00142,ME304,2,57,40,70.18
STU00142,ME305,3,61,52,85.25
STU00142,ME302,4,66,51,77.27
STU00143,EE302,1,62,41,66.13
STU00143,EE305,2,68,42,61.76
STU00143,EE305,3,69,45,65.22
STU00143,EE301,4,55,37,67.27
STU00143,EE304,5,64,46,71.88
STU00143,EE302,6,55,48,87.27
STU00144,EE304,1,63,40,63.49
STU00144,EE305,2,63,48,76.19
STU00145,CE303,1,61,42,68.85
STU00145,CE305,2,64,60,93.75
STU00145,CE301,3,60,36,60.0
STU00145,CE305,4,57,35,61.4
STU00145,CE303,5,57,45,78.95
STU00146,CS301,1,59,34,57.63
STU00146,CS305,2,63,36,57.14
STU00146,CS304,3,61,40,65.57
STU00146,CS305,4,65,34,52.31
STU00146,CS303,5,63,38,60.32
STU00147,EC303,1,62,53,85.48
STU00147,EC303,2,65,45,69.23
STU00147,EC302,3,69,62,89.86
STU00147,EC305,4,65,50,76.92
STU00147,EC301,5,59,49,83.05
STU00148,IT305,1,70,65,92.86
STU00148,IT301,2,55,44,80.0
STU00149,CS304,1,70,59,84.29
STU00149,CS304,2,57,54,94.74
STU00149,CS301,3,55,35,63.64
STU00150,CE301,1,66,48,72.73
STU00150,CE304,2,66,51,77.27
STU00150,CE304,3,60,44,73.33
STU00150,CE301,4,58,43,74.14
STU00150,CE304,5,66,59,89.39
STU00151,EE304,1,55,36,65.45
STU00151,EE302,2,55,28,50.91
STU00151,EE303,3,66,45,68.18
STU00152,ME301,1,64,58,90.62
STU00152,ME302,2,62,49,79.03
STU00152,ME304,3,66,53,80.3
STU00153,EE303,1,70,32,45.71
STU00153,EE305,2,61,34,55.74
STU00154,CS302,1,67,40,59.7
STU00154,CS301,2,63,47,74.6
STU00155,CE305,1,70,54,77.14
STU00155,CE302,2,61,44,72.13
STU00155,CE305,3,60,36,60.0
STU00155,CE301,4,59,33,55.93
STU00155,CE301,5,59,33,55.93
STU00155,CE303,6,62,42,67.74
STU00156,CE303,1,61,47,77.05
STU00156,CE301,2,63,51,80.95
STU00156,CE305,3,69,61,88.41
STU00156,CE301,4,68,64,94.12
STU00156,CE301,5,65,49,75.38
STU00156,CE304,6,68,62,91.18
STU00157,IT301,1,69,43,62.32
STU00157,IT304,2,66,51,77.27
STU00157,IT305,3,56,35,62.5
STU00157,IT302,4,56,34,60.71
STU00158,ME304,1,69,54,78.26
STU00158,ME303,2,55,55,100.0
STU00158,ME304,3,61,59,96.72
STU00158,ME303,4,57,45,78.95
STU00159,EC301,1,62,49,79.03
STU00159,EC304,2,57,42,73.68
STU00159,EC302,3,61,45,73.77
STU00159,EC302,4,65,50,76.92
STU00159,EC303,5,57,39,68.42
STU00159,EC301,6,55,48,87.27
STU00160,CE304,1,55,51,92.73
STU00160,CE305,2,65,51,78.46
STU00160,CE303,3,62,43,69.35
STU00160,CE301,4,70,59,84.29
STU00160,CE302,5,65,56,86.15
STU00161,EC303,1,62,40,64.52
STU00161,EC301,2,69,51,73.91
STU00162,CE304,1,58,46,79.31
STU00162,CE301,2,56,44,78.57
STU00163,CS304,1,65,60,92.31
STU00163,CS301,2,59,52,88.14
STU00164,EE304,1,56,41,73.21
STU00164,EE303,2,68,50,73.53
STU00165,ME301,1,56,37,66.07
STU00165,ME305,2,56,42,75.0
STU00166,ME304,1,67,51,76.12
STU00166,ME301,2,68,68,100.0
STU00166,ME302,3,55,43,78.18
STU00166,ME304,4,67,59,88.06
STU00167,IT304,1,58,50,86.21
STU00167,IT303,2,55,35,63.64
STU00167,IT304,3,65,38,58.46
STU00167,IT305,4,61,47,77.05
STU00167,IT301,5,58,38,65.52
STU00168,EC305,1,57,44,77.19
STU00168,EC305,2,61,41,67.21
STU00169,CE302,1,63,50,79.37
STU00169,CE303,2,68,53,77.94
STU00169,CE304,3,69,59,85.51
STU00169,CE302,4,62,52,83.87
STU00169,CE302,5,56,46,82.14
STU00169,CE301,6,59,45,76.27
STU00170,ME305,1,68,58,85.29
STU00170,ME305,2,66,53,80.3
STU00170,ME303,3,59,53,89.83
STU00170,ME302,4,70,65,92.86
STU00171,EC305,1,65,47,72.31
STU00171,EC303,2,66,50,75.76
STU00171,EC301,3,59,30,50.85
STU00171,EC301,4,62,50,80.65
STU00172,EC305,1,56,48,85.71
STU00172,EC304,2,66,66,100.0
STU00172,EC302,3,61,52,85.25
STU00172,EC302,4,57,57,100.0
STU00172,EC303,5,61,58,95.08
STU00172,EC304,6,69,54,78.26
STU00173,CE303,1,65,52,80.0
STU00173,CE305,2,64,47,73.44
STU00173,CE304,3,65,49,75.38
STU00173,CE302,4,58,48,82.76
STU00173,CE304,5,56,33,58.93
STU00173,CE304,6,62,50,80.65
STU00174,ME302,1,62,48,77.42
STU00174,ME304,2,61,50,81.97
STU00175,CS304,1,65,41,63.08
STU00175,CS304,2,61,47,77.05
STU00175,CS304,3,60,50,83.33
STU00176,EE303,1,55,48,87.27
STU00176,EE301,2,66,49,74.24
STU00177,CS305,1,58,47,81.03
STU00177,CS302,2,64,51,79.69
STU00178,EE302,1,66,55,83.33
STU00178,EE301,2,55,38,69.09
STU00178,EE302,3,61,46,75.41
STU00178,EE303,4,60,45,75.0
STU00178,EE302,5,63,49,77.78
STU00179,IT303,1,62,43,69.35
STU00179,IT302,2,61,44,72.13
STU00179,IT301,3,60,39,65.0
STU00180,EC301,1,55,41,74.55
STU00180,EC302,2,67,57,85.07
STU00180,EC301,3,65,54,83.08
STU00180,EC302,4,64,58,90.62
STU00181,EE302,1,66,58,87.88
STU00181,EE303,2,60,59,98.33
STU00181,EE305,3,68,56,82.35
STU00181,EE301,4,58,55,94.83
STU00181,EE302,5,59,56,94.92
STU00182,ME302,1,67,48,71.64
STU00182,ME303,2,65,57,87.69
STU00182,ME305,3,68,67,98.53
STU00183,CS301,1,61,41,67.21
STU00183,CS305,2,64,52,81.25
STU00183,CS302,3,65,46,70.77
STU00184,EC301,1,63,49,77.78
STU00184,EC302,2,70,63,90.0
STU00184,EC302,3,57,53,92.98
STU00185,ME305,1,57,44,77.19
STU00185,ME302,2,67,45,67.16
STU00185,ME305,3,66,49,74.24
STU00185,ME304,4,69,63,91.3
STU00185,ME302,5,65,42,64.62
STU00186,CE305,1,70,62,88.57
STU00186,CE304,2,70,36,51.43
STU00186,CE303,3,67,54,80.6
STU00186,CE305,4,56,38,67.86
STU00187,IT302,1,61,41,67.21
STU00187,IT304,2,62,32,51.61
STU00187,IT304,3,61,40,65.57
STU00188,CE304,1,67,55,82.09
STU00188,CE305,2,60,42,70.0
STU00188,CE303,3,63,45,71.43
STU00188,CE305,4,57,50,87.72
STU00189,EE301,1,64,48,75.0
STU00189,EE304,2,66,34,51.52
STU00189,EE302,3,56,39,69.64
STU00190,IT305,1,65,51,78.46
STU00190,IT304,2,69,52,75.36
STU00190,IT304,3,68,60,88.24
STU00190,IT304,4,66,39,59.09
STU00190,IT304,5,65,43,66.15
STU00191,EE304,1,55,31,56.36
STU00191,EE302,2,69,40,57.97
STU00191,EE302,3,63,35,55.56
STU00191,EE301,4,66,40,60.61
STU00192,CS303,1,57,57,100.0
STU00192,CS303,2,62,57,91.94
STU00193,CE301,1,57,46,80.7
STU00193,CE303,2,56,37,66.07
STU00194,IT302,1,65,43,66.15
STU00194,IT302,2,65,39,60.0
STU00194,IT303,3,64,40,62.5
STU00194,IT303,4,61,34,55.74
STU00194,IT305,5,59,47,79.66
STU00194,IT305,6,63,30,47.62
STU00195,IT303,1,64,51,79.69
STU00195,IT303,2,67,59,88.06
STU00196,CE305,1,55,34,61.82
STU00196,CE304,2,59,39,66.1
STU00196,CE304,3,62,32,51.61
STU00196,CE302,4,61,48,78.69
STU00196,CE304,5,62,40,64.52
STU00197,IT305,1,69,50,72.46
STU00197,IT304,2,65,50,76.92
