student_id,course_id,semester,login_count,content_views,assignment_submission_rate,average_session_minutes
STU00034,ME302,2,18,90,62.06,25.92
STU00034,ME305,3,25,40,53.39,47.58
STU00034,ME304,4,28,75,47.47,11.63
STU00034,ME301,5,36,106,30.53,25.52
STU00035,EC301,1,51,142,73.46,35.5
STU00035,EC303,2,58,93,80.71,45.93
STU00035,EC304,3,48,148,95.99,25.94
STU00036,ME301,1,12,56,21.69,7.3
STU00036,ME302,2,10,8,27.15,2.0
STU00036,ME302,3,29,47,20.84,2.0
STU00036,ME303,4,11,45,21.49,2.0
STU00036,ME305,5,9,75,22.5,4.91
STU00037,EE304,1,36,83,18.69,2.0
STU00037,EE301,2,31,37,5.41,9.14
STU00038,EC305,1,45,71,50.79,11.12
STU00038,EC301,2,48,70,43.09,30.85
STU00038,EC303,3,39,85,66.74,36.06
STU00038,EC304,4,26,82,34.95,10.73
STU00039,EC301,1,41,83,100.0,30.34
STU00039,EC305,2,61,127,87.13,48.85
STU00039,EC304,3,26,187,70.67,31.35
STU00040,CE305,1,18,102,42.3,21.91
STU00040,CE303,2,15,72,51.27,14.78
STU00040,CE305,3,30,66,51.89,21.3
STU00041,CS304,1,32,34,52.29,30.75
STU00041,CS302,2,33,43,41.7,26.01
STU00041,CS302,3,7,24,62.1,13.26
STU00042,CE304,1,72,167,100.0,34.49
STU00042,CE303,2,61,194,86.3,38.06
STU00042,CE304,3,47,205,100.0,45.82
STU00042,CE301,4,54,116,100.0,22.32
STU00043,CE304,1,0,73,70.88,36.46
STU00043,CE302,2,44,71,47.17,11.06
STU00043,CE302,3,26,73,40.64,2.0
STU00043,CE304,4,23,98,34.56,22.78
STU00043,CE303,5,20,80,63.39,9.69
STU00043,CE305,6,30,42,14.55,24.21
STU00044,EC302,1,44,157,69.63,22.96
STU00044,EC305,2,42,69,87.98,30.18
STU00045,EE303,1,14,107,45.51,40.14
STU00045,EE305,2,21,60,65.89,18.06
STU00045,EE304,3,49,77,58.96,10.79
STU00045,EE301,4,36,86,49.29,24.8
STU00046,CS303,1,5,58,66.57,20.17
STU00046,CS302,2,25,48,70.39,17.18
STU00046,CS302,3,19,86,36.85,32.28
STU00046,CS304,4,41,36,52.52,39.79
STU00047,CE301,1,34,65,32.6,20.92
STU00047,CE301,2,31,37,34.41,17.52
STU00047,CE304,3,28,25,48.52,8.84
STU00047,CE303,4,17,77,16.1,3.66
STU00047,CE301,5,35,25,38.35,23.95
STU00048,IT305,1,38,121,51.87,30.94
STU00048,IT303,2,29,54,79.58,19.65
STU00048,IT305,3,23,40,46.18,21.04
STU00048,IT304,4,33,36,49.81,13.89
STU00049,ME302,1,20,64,39.97,30.57
STU00049,ME302,2,10,82,55.63,4.0
STU00050,CE302,1,11,71,59.66,15.0
STU00050,CE303,2,24,135,61.01,25.06
STU00050,CE301,3,23,96,61.79,22.8
STU00050,CE302,4,52,67,73.82,29.15
STU00050,CE305,5,54,85,65.66,27.48
STU00051,CS304,1,37,26,34.62,4.76
STU00051,CS302,2,21,8,29.87,25.47
STU00051,CS302,3,28,45,39.37,21.28
STU00051,CS303,4,42,76,36.0,22.79
STU00052,IT304,1,11,68,63.45,39.38
STU00052,IT302,2,23,49,18.9,24.54
STU00053,CS305,1,39,2,32.36,5.91
STU00053,CS301,2,17,48,21.7,13.25
STU00053,CS305,3,15,0,41.54,2.0
STU00053,CS301,4,18,37,29.83,15.77
STU00053,CS302,5,29,57,0.0,17.12
STU00054,IT301,1,16,28,39.26,27.34
STU00054,IT305,2,37,92,61.05,25.8
STU00054,IT305,3,19,65,37.28,15.63
STU00055,EC301,1,0,0,4.56,14.63
STU00055,EC302,2,12,64,0.13,2.0
STU00055,EC301,3,0,38,21.91,16.94
STU00056,ME304,1,53,154,90.13,51.21
STU00056,ME302,2,52,140,83.85,31.81
STU00056,ME302,3,64,146,100.0,34.17
STU00056,ME303,4,61,155,92.59,36.84
STU00056,ME304,5,42,81,93.39,27.79
STU00057,EE302,1,9,89,37.91,22.23
STU00057,EE303,2,36,22,58.53,6.52
STU00057,EE304,3,11,80,32.66,13.24
STU00057,EE304,4,20,58,45.39,3.72
STU00057,EE301,5,30,47,31.94,16.55
STU00058,CS302,1,52,182,72.37,28.35
STU00058,CS302,2,39,118,87.08,33.45
STU00058,CS305,3,73,106,81.85,24.06
STU00058,CS301,4,44,200,72.29,38.48
STU00059,EE302,1,70,87,83.82,30.52
STU00059,EE304,2,44,143,87.25,28.39
STU00059,EE304,3,57,175,91.29,31.68
STU00059,EE305,4,55,117,86.23,55.8
STU00059,EE301,5,68,173,79.81,16.14
STU00060,IT301,1,47,90,74.78,38.73
STU00060,IT303,2,37,79,77.4,41.08
STU00060,IT304,3,58,106,48.41,33.86
STU00060,IT305,4,26,129,73.62,31.05
STU00060,IT301,5,55,85,87.66,36.49
STU00060,IT305,6,57,111,72.5,46.09
STU00061,IT304,1,65,140,62.72,42.82
STU00061,IT302,2,46,137,91.41,29.1
STU00061,IT305,3,41,104,67.55,36.7
STU00061,IT303,4,43,141,90.95,29.36
STU00062,EC304,1,29,52,56.81,23.58
STU00062,EC304,2,37,60,61.14,25.54
STU00062,EC301,3,7,84,36.07,5.84
STU00062,EC305,4,15,109,46.55,13.89
STU00062,EC302,5,24,80,36.86,9.8
STU00062,EC301,6,39,103,26.27,10.07
STU00063,ME302,1,15,15,26.7,4.36
STU00063,ME303,2,0,61,43.03,2.0
STU00064,IT303,1,25,68,19.56,8.49
STU00064,IT305,2,20,2,22.03,7.18
STU00064,IT305,3,34,74,6.81,15.82
STU00064,IT304,4,2,8,21.51,2.0
STU00064,IT303,5,14,55,28.1,2.0
STU00065,EC305,1,74,91,60.05,33.69
STU00065,EC301,2,66,174,67.42,25.15
STU00065,EC302,3,37,100,93.95,18.08
STU00066,CE302,1,41,94,62.37,21.9
STU00066,CE304,2,51,105,73.89,33.44
STU00066,CE302,3,49,103,86.45,34.98
STU00067,CE301,1,29,87,63.2,36.45
STU00067,CE301,2,36,172,71.94,12.92
STU00067,CE303,3,44,74,73.16,2.0
STU00067,CE304,4,43,73,61.84,16.74
STU00067,CE301,5,39,178,53.4,41.34
STU00068,ME303,1,60,100,63.6,29.74
STU00068,ME302,2,57,51,72.15,33.89
STU00069,CE302,1,48,107,57.43,42.53
STU00069,CE305,2,58,103,84.89,38.13
STU00069,CE305,3,40,167,92.28,29.13
STU00070,EE305,1,21,76,19.56,16.76
STU00070,EE304,2,14,5,32.14,21.8
STU00070,EE302,3,6,74,34.01,18.31
STU00070,EE301,4,29,10,38.58,19.04
STU00070,EE301,5,23,0,33.1,10.15
STU00070,EE301,6,24,1,41.03,18.91
STU00071,ME305,1,0,60,43.58,14.92
STU00071,ME303,2,16,30,46.39,2.87
STU00071,ME301,3,27,23,29.12,30.59
STU00071,ME304,4,32,19,21.81,23.36
STU00072,ME303,1,66,144,84.55,36.46
STU00072,ME303,2,52,113,100.0,47.56
STU00072,ME305,3,34,138,87.12,23.78
STU00072,ME303,4,41,113,77.1,24.36
STU00072,ME302,5,47,133,90.06,25.33
STU00073,IT303,1,20,64,24.34,8.28
STU00073,IT301,2,22,52,63.35,15.91
STU00073,IT301,3,12,43,23.4,29.8
STU00073,IT303,4,0,38,41.17,11.92
STU00074,IT304,1,0,0,37.84,4.89
STU00074,IT301,2,14,0,36.81,2.0
STU00074,IT302,3,4,53,5.83,9.84
STU00075,IT303,1,56,93,92.47,37.8
STU00075,IT301,2,56,63,77.28,33.41
STU00075,IT304,3,25,108,89.79,6.24
STU00075,IT303,4,25,149,86.88,38.8
STU00075,IT303,5,45,109,88.25,18.55
STU00076,IT305,1,31,122,74.74,45.09
STU00076,IT304,2,37,97,67.61,29.13
STU00076,IT304,3,29,128,77.03,41.33
STU00076,IT303,4,47,94,70.4,15.13
STU00077,IT304,1,49,49,72.84,30.07
STU00077,IT305,2,18,114,48.77,24.27
STU00078,IT304,1,28,48,45.12,3.52
STU00078,IT301,2,0,16,28.48,12.91
STU00078,IT304,3,6,47,33.05,2.0
STU00078,IT302,4,24,4,35.78,2.0
STU00078,IT305,5,10,76,11.72,2.0
STU00079,ME304,1,14,54,37.97,7.93
STU00079,ME301,2,24,38,34.62,3.4
STU00079,ME303,3,0,83,28.54,17.28
STU00079,ME302,4,9,32,35.03,2.0
STU00080,CE305,1,41,51,36.5,20.45
STU00080,CE303,2,29,67,36.6,11.03
STU00080,CE305,3,19,87,10.38,14.95
STU00081,EE305,1,17,22,24.46,2.0
STU00081,EE305,2,17,39,0.0,2.0
STU00082,CS301,1,38,115,37.97,11.39
STU00082,CS305,2,27,53,42.7,17.13
STU00082,CS303,3,31,57,53.93,2.0
STU00082,CS305,4,24,38,53.87,13.82
STU00082,CS305,5,42,75,36.49,22.07
STU00083,EC304,1,23,42,54.7,5.79
STU00083,EC302,2,34,100,53.67,7.92
STU00084,CE301,1,16,74,62.6,7.91
STU00084,CE303,2,23,65,37.89,26.88
STU00085,CE304,1,7,104,54.83,21.98
STU00085,CE305,2,31,95,44.89,17.46
STU00085,CE303,3,0,22,59.49,2.0
STU00085,CE302,4,56,4,49.25,12.89
STU00085,CE301,5,25,73,49.25,18.3
STU00085,CE301,6,22,27,50.62,21.27
STU00086,CS301,1,70,171,89.0,53.55
STU00086,CS304,2,34,176,81.26,55.03
STU00086,CS301,3,75,160,85.52,29.25
STU00086,CS304,4,62,119,100.0,50.61
STU00086,CS304,5,85,119,95.66,44.16
STU00086,CS303,6,41,157,100.0,44.75
STU00087,CS303,1,36,116,33.84,6.32
STU00087,CS302,2,44,45,69.49,17.13
STU00087,CS301,3,30,57,47.96,20.76
STU00087,CS301,4,13,53,73.39,14.72
STU00087,CS302,5,51,24,37.66,17.18
STU00088,EE304,1,26,15,11.49,9.29
STU00088,EE302,2,36,0,27.35,23.4
STU00088,EE305,3,17,0,29.47,9.77
STU00089,IT303,1,20,81,40.1,2.12
STU00089,IT302,2,35,63,54.22,19.48
STU00090,ME301,1,51,73,58.77,32.62
STU00090,ME302,2,43,87,69.58,25.56
STU00090,ME304,3,57,100,74.45,17.98
STU00090,ME304,4,39,115,68.77,27.51
STU00090,ME304,5,56,48,88.07,43.56
STU00091,EE303,1,33,37,24.18,14.07
STU00091,EE301,2,25,59,39.07,29.15
STU00091,EE301,3,25,80,36.95,29.55
STU00092,EC304,1,33,0,36.74,2.0
STU00092,EC305,2,0,14,48.68,30.86
STU00092,EC301,3,17,41,34.68,26.79
STU00092,EC304,4,5,44,24.33,2.0
STU00092,EC305,5,17,7,33.5,4.72
STU00093,EC301,1,13,0,20.74,5.21
STU00093,EC304,2,0,71,20.98,21.2
STU00093,EC305,3,0,39,12.25,25.04
STU00094,CS304,1,0,4,42.05,6.99
STU00094,CS301,2,10,29,15.3,10.94
STU00094,CS305,3,0,36,0.0,7.45
STU00094,CS304,4,17,7,14.62,14.42
STU00095,CS302,1,33,59,58.85,15.6
STU00095,CS302,2,42,102,49.37,25.2
STU00096,IT304,1,43,107,79.82,13.63
STU00096,IT305,2,25,122,64.73,26.93
STU00096,IT305,3,41,135,72.75,17.7
STU00096,IT305,4,53,129,75.98,23.05
STU00097,CE303,1,16,63,48.61,12.72
STU00097,CE304,2,1,97,43.02,50.4
STU00097,CE304,3,5,48,51.91,22.94
STU00098,CS302,1,49,95,60.54,24.82
STU00098,CS301,2,27,93,39.91,28.2
STU00098,CS302,3,31,39,67.28,46.83
STU00098,CS302,4,42,99,54.33,39.45
STU00098,CS305,5,18,113,44.06,14.13
STU00098,CS301,6,45,82,69.83,17.56
STU00099,EE303,1,32,87,64.03,14.66
STU00099,EE302,2,43,93,37.86,31.14
STU00099,EE301,3,15,80,60.0,20.62
STU00099,EE303,4,50,56,67.33,36.41
STU00099,EE302,5,32,129,66.04,14.91
STU00100,CE301,1,34,39,33.87,2.0
STU00100,CE303,2,4,71,26.99,12.32
STU00100,CE301,3,25,103,37.35,24.23
STU00100,CE301,4,32,60,17.28,12.31
STU00100,CE304,5,0,48,37.39,22.77
STU00100,CE303,6,38,74,40.83,18.07
STU00101,EC305,1,5,74,28.92,2.0
STU00101,EC302,2,29,85,37.05,33.66
STU00102,ME304,1,18,87,62.99,37.25
STU00102,ME301,2,28,59,59.48,34.28
STU00103,ME305,1,11,82,34.36,39.59
STU00103,ME305,2,28,44,67.05,18.24
STU00103,ME305,3,42,54,31.14,21.22
STU00103,ME302,4,14,107,64.05,49.27
STU00103,ME302,5,17,15,38.71,2.0
STU00103,ME302,6,30,40,43.99,17.93
STU00104,ME305,1,41,59,56.08,29.15
STU00104,ME301,2,66,59,45.68,35.0
STU00104,ME303,3,51,59,54.08,2.0
STU00104,ME302,4,43,124,48.51,30.16
STU00104,ME302,5,31,107,73.42,29.11
STU00105,CS301,1,24,24,38.89,4.11
STU00105,CS304,2,12,6,33.33,9.57
STU00105,CS303,3,12,102,12.13,27.14
STU00105,CS301,4,38,49,37.73,26.37
STU00105,CS303,5,11,93,45.7,13.4
STU00106,EC302,1,56,48,82.4,21.41
STU00106,EC305,2,49,100,66.54,14.18
STU00106,EC302,3,50,132,61.52,21.26
STU00106,EC304,4,42,103,44.62,2.0
STU00107,EE304,1,30,128,63.44,31.68
STU00107,EE301,2,17,86,75.57,23.44
STU00107,EE302,3,28,93,71.94,26.32
STU00107,EE305,4,32,84,70.36,49.91
STU00107,EE301,5,10,27,60.09,37.39
STU00108,EC304,1,6,0,13.98,2.0
STU00108,EC304,2,5,28,30.34,2.0
STU00108,EC304,3,0,27,30.48,7.42
STU00108,EC302,4,0,0,25.28,2.0
STU00109,IT303,1,26,116,100.0,34.72
STU00109,IT304,2,57,86,91.57,28.87
STU00109,IT303,3,50,120,50.53,18.58
STU00109,IT301,4,43,93,62.87,29.11
STU00109,IT305,5,47,97,76.7,44.88
STU00109,IT304,6,26,80,75.99,19.94
STU00110,CS305,1,7,59,22.7,5.38
STU00110,CS303,2,1,71,26.92,6.66
STU00110,CS302,3,7,64,45.46,6.01
STU00111,ME301,1,45,35,61.18,35.41
STU00111,ME304,2,20,69,58.26,5.63
STU00112,CS305,1,42,108,62.23,15.17
STU00112,CS302,2,27,94,37.64,17.96
STU00112,CS305,3,38,64,60.43,25.18
STU00112,CS305,4,36,105,64.72,31.62
STU00112,CS302,5,48,116,64.39,34.14
STU00112,CS301,6,41,114,50.52,22.81
STU00113,EE303,1,0,92,21.18,26.24
STU00113,EE305,2,14,0,7.45,15.95
STU00113,EE301,3,26,10,36.89,19.2
STU00114,IT305,1,33,82,78.76,28.95
STU00114,IT301,2,53,152,75.08,37.61
STU00114,IT301,3,42,135,80.5,31.43
STU00114,IT303,4,24,106,54.82,31.52
STU00115,ME303,1,18,56,43.75,28.27
STU00115,ME305,2,13,26,54.21,17.56
STU00115,ME303,3,42,56,38.03,17.92
STU00115,ME303,4,42,88,74.15,31.5
STU00115,ME304,5,40,88,38.71,27.13
STU00116,CE303,1,4,47,47.92,23.23
STU00116,CE303,2,36,36,42.52,14.38
STU00117,EC302,1,19,65,21.03,19.68
STU00117,EC304,2,9,19,25.22,2.0
STU00118,ME301,1,56,182,100.0,48.21
STU00118,ME302,2,58,151,94.22,51.93
STU00119,EC304,1,28,67,57.65,27.58
STU00119,EC303,2,27,112,17.73,20.55
STU00119,EC305,3,46,57,42.98,31.67
STU00120,EE305,1,46,63,42.65,2.0
STU00120,EE304,2,23,99,47.46,24.45
STU00120,EE304,3,36,72,69.81,18.72
STU00120,EE302,4,32,150,56.58,27.1
STU00121,CE302,1,47,111,59.87,20.43
STU00121,CE304,2,22,41,51.06,21.91
STU00121,CE305,3,49,89,51.22,12.81
STU00121,CE302,4,28,113,56.39,16.66
STU00121,CE304,5,48,106,58.19,32.81
STU00121,CE302,6,28,133,57.08,10.85
STU00122,IT305,1,8,83,47.63,21.52
STU00122,IT301,2,14,65,54.65,14.0
STU00123,EE305,1,35,29,52.84,24.64
STU00123,EE301,2,36,67,33.11,24.38
STU00123,EE301,3,0,75,48.31,2.0
STU00123,EE303,4,24,59,40.01,16.78
STU00124,EE303,1,44,93,46.57,18.25
STU00124,EE301,2,47,37,71.23,17.29
STU00124,EE302,3,36,89,53.17,25.18
STU00124,EE301,4,48,59,70.37,31.52
STU00125,EC302,1,5,32,6.25,14.84
STU00125,EC304,2,35,27,9.74,15.0
STU00125,EC301,3,0,0,0.0,2.42
STU00125,EC301,4,21,0,10.75,2.0
STU00126,CS304,1,10,67,42.77,9.33
STU00126,CS305,2,14,49,22.41,13.97
STU00126,CS303,3,8,41,42.92,23.36
STU00126,CS304,4,31,57,19.92,16.19
STU00126,CS302,5,28,95,40.55,9.06
STU00127,CS304,1,42,57,54.15,19.08
STU00127,CS303,2,19,123,60.11,11.66
STU00127,CS305,3,40,81,30.96,17.1
STU00127,CS304,4,32,51,44.8,9.66
STU00127,CS304,5,3,27,31.15,32.84
STU00128,EE301,1,38,127,49.9,21.71
STU00128,EE303,2,23,77,61.09,52.15
STU00128,EE302,3,40,40,65.13,25.9
STU00128,EE305,4,32,63,27.29,41.44
STU00128,EE305,5,58,41,40.16,16.62
STU00128,EE305,6,40,150,78.77,14.15
STU00129,IT305,1,64,66,85.46,45.51
STU00129,IT305,2,37,149,85.96,32.91
STU00129,IT304,3,48,129,100.0,34.08
STU00130,CS305,1,38,126,67.88,40.33
STU00130,CS301,2,38,110,64.88,18.41
STU00131,CE302,1,0,0,5.82,12.29
STU00131,CE301,2,3,0,5.97,2.0
STU00131,CE304,3,0,0,14.8,2.0
STU00132,EC301,1,30,74,53.14,27.6
STU00132,EC304,2,20,52,41.02,24.53
STU00132,EC304,3,37,81,75.21,10.64
STU00132,EC305,4,26,37,51.18,2.0
STU00132,EC304,5,19,38,51.62,6.43
STU00133,IT301,1,24,67,35.52,14.34
STU00133,IT305,2,45,42,40.38,21.91
STU00134,ME302,1,13,28,31.29,19.5
STU00134,ME303,2,18,11,27.39,15.79
STU00134,ME302,3,39,44,26.79,2.51
STU00134,ME304,4,39,59,16.82,9.23
STU00135,EC305,1,19,96,57.13,29.43
STU00135,EC302,2,23,59,31.48,11.53
STU00136,EC303,1,22,61,46.85,4.84
STU00136,EC301,2,5,69,27.64,20.86
STU00137,ME304,1,17,75,22.64,2.0
STU00137,ME303,2,0,66,15.62,7.86
STU00137,ME301,3,17,18,30.63,5.77
STU00138,CS302,1,6,27,5.64,7.3
STU00138,CS304,2,16,35,17.55,11.68
STU00138,CS301,3,4,20,17.61,2.0
STU00139,CE303,1,50,66,23.45,2.0
STU00139,CE305,2,40,25,39.0,2.0
STU00140,EC304,1,47,68,45.59,36.47
STU00140,EC304,2,61,9,58.76,15.01
STU00141,CE303,1,0,4,3.46,4.85
STU00141,CE302,2,26,0,33.34,2.0
STU00142,ME305,1,26,106,42.44,14.27
STU00142,ME304,2,22,37,49.17,7.6
STU00142,ME305,3,20,19,40.53,13.33
STU00142,ME302,4,33,71,41.54,13.17
STU00143,EE302,1,1,33,32.62,29.56
STU00143,EE305,2,16,45,39.2,23.42
STU00143,EE305,3,20,92,35.87,8.78
STU00143,EE301,4,31,105,36.69,13.34
STU00143,EE304,5,14,34,43.55,8.73
STU00143,EE302,6,37,68,37.68,14.17
STU00144,EE304,1,13,51,27.25,10.43
STU00144,EE305,2,2,9,28.64,2.0
STU00145,CE303,1,14,97,41.19,13.86
STU00145,CE305,2,43,94,36.29,11.81
STU00145,CE301,3,28,52,46.32,14.83
STU00145,CE305,4,22,39,47.62,15.78
STU00145,CE303,5,16,47,34.17,5.66
STU00146,CS301,1,23,22,20.95,2.0
STU00146,CS305,2,0,21,20.44,2.0
STU00146,CS304,3,1,39,11.96,4.98
STU00146,CS305,4,16,13,0.81,2.0
STU00146,CS303,5,0,24,27.53,2.0
STU00147,EC303,1,33,51,58.2,40.73
STU00147,EC303,2,46,97,28.8,13.81
STU00147,EC302,3,43,48,40.04,29.99
STU00147,EC305,4,12,59,32.48,26.82
STU00147,EC301,5,63,34,49.95,21.68
STU00148,IT305,1,45,85,100.0,29.86
STU00148,IT301,2,72,146,82.29,27.39
STU00149,CS304,1,8,111,58.78,14.34
STU00149,CS304,2,28,96,52.05,27.64
STU00149,CS301,3,18,16,52.42,23.43
STU00150,CE301,1,31,104,33.81,17.53
STU00150,CE304,2,20,68,41.13,6.77
STU00150,CE304,3,31,52,35.12,25.07
STU00150,CE301,4,32,59,43.81,2.0
STU00150,CE304,5,30,51,41.7,23.52
STU00151,EE304,1,41,0,31.52,2.0
STU00151,EE302,2,15,60,22.59,15.11
STU00151,EE303,3,13,126,27.62,23.19
STU00152,ME301,1,34,114,82.13,35.38
STU00152,ME302,2,50,163,78.89,31.49
STU00152,ME304,3,34,104,86.02,20.72
STU00153,EE303,1,0,21,4.0,9.98
STU00153,EE305,2,0,51,24.38,2.0
STU00154,CS302,1,0,22,14.86,2.0
STU00154,CS301,2,0,57,18.6,2.0
STU00155,CE305,1,14,0,0.0,8.5
STU00155,CE302,2,0,10,22.69,2.0
STU00155,CE305,3,4,52,14.84,2.0
STU00155,CE301,4,7,34,10.95,2.0
STU00155,CE301,5,0,18,0.0,20.72
STU00155,CE303,6,15,14,0.0,8.92
STU00156,CE303,1,27,115,67.21,32.92
STU00156,CE301,2,36,49,77.26,25.59
STU00156,CE305,3,44,26,66.2,17.95
STU00156,CE301,4,60,103,79.92,18.64
STU00156,CE301,5,24,106,71.2,26.05
STU00156,CE304,6,25,74,58.27,32.71
STU00157,IT301,1,38,78,32.6,38.96
STU00157,IT304,2,22,54,44.33,27.89
STU00157,IT305,3,15,21,43.77,25.8
STU00157,IT302,4,21,67,37.94,17.19
STU00158,ME304,1,54,170,84.62,43.75
STU00158,ME303,2,52,117,73.69,44.46
STU00158,ME304,3,70,102,68.38,24.54
STU00158,ME303,4,49,115,80.0,18.01
STU00159,EC301,1,42,49,56.86,24.66
STU00159,EC304,2,46,153,45.48,27.67
STU00159,EC302,3,21,108,45.77,27.85
STU00159,EC302,4,24,118,73.79,14.16
STU00159,EC303,5,19,116,48.96,22.76
STU00159,EC301,6,30,85,51.35,7.55
STU00160,CE304,1,26,44,49.28,3.62
STU00160,CE305,2,42,67,46.22,23.65
STU00160,CE303,3,27,35,67.26,28.03
STU00160,CE301,4,33,107,47.89,32.05
STU00160,CE302,5,11,57,44.58,15.68
STU00161,EC303,1,24,54,29.93,24.98
